URL,Countries_Filled,Country_Code,Continent,Companies,Company Headquarters,HQ_Country,HQ_Continent
https://www.business-humanrights.org/en/latest-news/bp-statement-in-response-to-report-on-social-environmental-impacts-of-baku-tbilisi-ceyhan-btc-oil-pipeline-by-kurdish-human-rights-project-the-corner-house-friends-of-the-earth-environmental-defense/,AZ|GB|GE|TR,GE,Asia,bp,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/bp-statement-in-response-to-report-on-social-environmental-impacts-of-baku-tbilisi-ceyhan-btc-oil-pipeline-by-kurdish-human-rights-project-the-corner-house-friends-of-the-earth-environmental-defense/,AZ|GB|GE|TR,TR,Asia,bp,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/ukrenergo-response-construction-of-330-kv-adjalik-usatove-overhead-transmission-line-interconnection/,UA,UA,Europe,Ukrenergo,UA,UA,Europe
https://www.business-humanrights.org/en/latest-news/eni-response-re-report-enis-new-investment-in-tar-sands-and-palm-oil-in-the-congo-basin-by-the-heinrich-böll-foundation-and-other-ngos/,CG,CG,Africa,Eni,IT,IT,Europe
https://www.business-humanrights.org/en/latest-news/response-of-dupont-to-toxic-100-ranking/,US,US,North America,DuPont,US,US,North America
https://www.business-humanrights.org/en/latest-news/arcelormittal-response-to-a-report-raising-concerns-about-alleged-avoidance-of-environmental-obligations-by-the-firm-in-ukraine-and-kazakhstan/,KZ|UA,KZ,Asia,ArcelorMittal,LU,LU,Europe
https://www.business-humanrights.org/en/latest-news/arcelormittal-response-to-a-report-raising-concerns-about-alleged-avoidance-of-environmental-obligations-by-the-firm-in-ukraine-and-kazakhstan/,KZ|UA,UA,Europe,ArcelorMittal,LU,LU,Europe
https://www.business-humanrights.org/en/latest-news/dow-response-to-business-human-rights-resource-centre-regarding-concerns-raised-by-amnesty-international-usa-related-to-bhopal/,IN|US,IN,Asia,Dow Chemical,US,US,North America
https://www.business-humanrights.org/en/latest-news/dow-response-to-business-human-rights-resource-centre-regarding-concerns-raised-by-amnesty-international-usa-related-to-bhopal/,IN|US,US,North America,Dow Chemical,US,US,North America
https://www.business-humanrights.org/en/latest-news/gaslinks-response-to-concerns-about-the-potential-of-its-pipelines-project-causing-unprecedented-loss-of-lives-in-lagos-nigeria/,NG,NG,Africa,Gaslink (part of Oando),NG,NG,Africa
