URL,Countries_Filled,Country_Code,Continent
https://www.business-humanrights.org/en/latest-news/norilsk-nickel-response-to-blacksmith-institute-report-worlds-worst-polluted-places-2006/,RU,RU,Other
https://www.business-humanrights.org/en/latest-news/response-of-coca-cola-femsa-to-allegation-of-sexual-orientation-discrimination-in-mexico/,MX,MX,North America
https://www.business-humanrights.org/en/latest-news/british-american-tobacco-bat-statement-in-response-to-bat-in-its-own-words-report-by-christian-aid-action-on-smoking-and-health-friends-of-the-earth/,CN,CN,Asia
https://www.business-humanrights.org/en/latest-news/intex-resources-response-to-local-authorities-complaint-re-granting-of-environmental-certification-to-mining-project/,PH,PH,Asia
https://www.business-humanrights.org/en/latest-news/barrick-golds-response-to-allegations-of-water-contamination-at-its-mara-mines-tanzania/,TZ,TZ,Africa
https://www.business-humanrights.org/en/latest-news/response-to-allegations-made-by-war-on-want-against-erinys/,IQ,IQ,Asia
https://www.business-humanrights.org/en/latest-news/vedanta-response-to-survival-international-media-statement/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/implats-response-to-bench-marks-report/,ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/response-of-monclova-internacional-to-concerns-over-workplace-safety-wages/,MX,MX,North America
https://www.business-humanrights.org/en/latest-news/company-response-statement-by-paul-warner-manager-community-relations-and-institutional-affairs-bhp-billiton-base-metals/,PE,PE,South America
https://www.business-humanrights.org/en/latest-news/anglogold-ashantis-response-ghana/,GH,GH,Africa
https://www.business-humanrights.org/en/latest-news/response-of-ing-to-netwerk-vlaanderen-report-where-do-you-draw-the-line/,Global,Global,Global
https://www.business-humanrights.org/en/latest-news/google-response-regarding-amnesty-international-action-on-censorship-in-china/,CN,CN,Asia
https://www.business-humanrights.org/en/latest-news/serco-response-re-childrens-commissioner-report/,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/response-by-novartis-to-statement-by-physicians-for-social-justice-nigeria/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/response-of-ford-to-allegations-of-involvement-in-abuses-in-argentina-during-the-military-dictatorship-1976-1983/,AR,AR,South America
https://www.business-humanrights.org/en/latest-news/response-of-dsm-to-concerns-regarding-pollution-of-groundwater-near-one-of-its-facilities-in-india/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/rio-tinto-response-to-report-by-panos-and-friends-of-the-earth-regarding-the-ilmenite-mine-in-madagascar/,MG,MG,Africa
https://www.business-humanrights.org/en/latest-news/tesco-statement-in-response-to-actionaid-report-rotten-fruit-tesco-profits-as-women-workers-pay-a-high-price/,ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/crédit-agricole-response-to-amnesty-international-france-press-release-on-investment-in-the-arms-industry/,FR,FR,Europe
https://www.business-humanrights.org/en/latest-news/balfour-beatty-response/,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/statement-from-gsk-regarding-gsk-patents-and-patent-applications-directed-to-a-specific-formulation-of-combivir/,TH,TH,Asia
https://www.business-humanrights.org/en/latest-news/response-to-business-human-rights-request/,TZ,TZ,Africa
https://www.business-humanrights.org/en/latest-news/standard-flour-mills-response-nigeria/,NG,NG,Africa
https://www.business-humanrights.org/en/latest-news/bp-statement-in-response-to-report-on-social-environmental-impacts-of-baku-tbilisi-ceyhan-btc-oil-pipeline-by-kurdish-human-rights-project-the-corner-house-friends-of-the-earth-environmental-defense/,AZ|GB|GE|TR,AZ,Asia
https://www.business-humanrights.org/en/latest-news/bp-statement-in-response-to-report-on-social-environmental-impacts-of-baku-tbilisi-ceyhan-btc-oil-pipeline-by-kurdish-human-rights-project-the-corner-house-friends-of-the-earth-environmental-defense/,AZ|GB|GE|TR,GB,Europe
https://www.business-humanrights.org/en/latest-news/bp-statement-in-response-to-report-on-social-environmental-impacts-of-baku-tbilisi-ceyhan-btc-oil-pipeline-by-kurdish-human-rights-project-the-corner-house-friends-of-the-earth-environmental-defense/,AZ|GB|GE|TR,GE,Asia
https://www.business-humanrights.org/en/latest-news/bp-statement-in-response-to-report-on-social-environmental-impacts-of-baku-tbilisi-ceyhan-btc-oil-pipeline-by-kurdish-human-rights-project-the-corner-house-friends-of-the-earth-environmental-defense/,AZ|GB|GE|TR,TR,Asia
https://www.business-humanrights.org/en/latest-news/ukrenergo-response-construction-of-330-kv-adjalik-usatove-overhead-transmission-line-interconnection/,UA,UA,Europe
https://www.business-humanrights.org/en/latest-news/eni-response-re-report-enis-new-investment-in-tar-sands-and-palm-oil-in-the-congo-basin-by-the-heinrich-böll-foundation-and-other-ngos/,CG,CG,Africa
https://www.business-humanrights.org/en/latest-news/response-of-dupont-to-toxic-100-ranking/,US,US,North America
https://www.business-humanrights.org/en/latest-news/arcelormittal-response-to-a-report-raising-concerns-about-alleged-avoidance-of-environmental-obligations-by-the-firm-in-ukraine-and-kazakhstan/,KZ|UA,KZ,Asia
https://www.business-humanrights.org/en/latest-news/arcelormittal-response-to-a-report-raising-concerns-about-alleged-avoidance-of-environmental-obligations-by-the-firm-in-ukraine-and-kazakhstan/,KZ|UA,UA,Europe
https://www.business-humanrights.org/en/latest-news/dow-response-to-business-human-rights-resource-centre-regarding-concerns-raised-by-amnesty-international-usa-related-to-bhopal/,IN|US,IN,Asia
https://www.business-humanrights.org/en/latest-news/dow-response-to-business-human-rights-resource-centre-regarding-concerns-raised-by-amnesty-international-usa-related-to-bhopal/,IN|US,US,North America
https://www.business-humanrights.org/en/latest-news/gaslinks-response-to-concerns-about-the-potential-of-its-pipelines-project-causing-unprecedented-loss-of-lives-in-lagos-nigeria/,NG,NG,Africa
https://www.business-humanrights.org/en/latest-news/new-wave-group-response-to-clean-clothes-campaign-update-on-spectrum-shahriyar-factory-collapse/,BD,BD,Asia
https://www.business-humanrights.org/en/latest-news/perenco-response-to-articles-regarding-local-communities-protests-against-alleged-environmental-damage-of-perencos-operations-in-orellana-ecuador/,EC,EC,South America
https://www.business-humanrights.org/en/latest-news/updated-company-response-from-top-toy-on-labour-conditions-in-toy-factories-in-china-following-release-of-english-version-of-swedwatch-and-fair-trade-center-report-easy-to-manage/,CN,CN,Asia
https://www.business-humanrights.org/en/latest-news/coca-cola-response-to-guardian-article/,CO,CO,South America
https://www.business-humanrights.org/en/latest-news/adidas-response-to-the-report-the-life-of-football-factory-workers-in-thailand-issued-by-thai-labour-campaign-and-the-ccc-on-june-30-2006/,TH,TH,Asia
https://www.business-humanrights.org/en/latest-news/response-by-sp-international-to-calcutta-telegraph-article-alleging-exploitation-of-child-workers/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/statement-from-brio-in-response-to-swedwatch-and-fair-trade-center-report-easy-to-manage-on-labour-conditions-in-china/,CN,CN,Asia
https://www.business-humanrights.org/en/latest-news/yamana-gold-response-to-business-human-rights-resource-centre-regarding-concerns-about-environmental-impacts-and-alleged-harassment-of-villagers-journalists-san-andrés-mine-honduras/,HN,HN,North America
https://www.business-humanrights.org/en/latest-news/shell-response-to-article-by-former-shell-executive-paddy-briggs/,SA,SA,Asia
https://www.business-humanrights.org/en/latest-news/de-beers-response-to-benchmarks-report/,BW,BW,Africa
https://www.business-humanrights.org/en/latest-news/shell-response-to-the-other-shell-report-published-by-friends-of-the-earth/,NG|PH|RU|US|ZA,NG,Africa
https://www.business-humanrights.org/en/latest-news/shell-response-to-the-other-shell-report-published-by-friends-of-the-earth/,NG|PH|RU|US|ZA,PH,Asia
https://www.business-humanrights.org/en/latest-news/shell-response-to-the-other-shell-report-published-by-friends-of-the-earth/,NG|PH|RU|US|ZA,RU,Other
https://www.business-humanrights.org/en/latest-news/shell-response-to-the-other-shell-report-published-by-friends-of-the-earth/,NG|PH|RU|US|ZA,US,North America
https://www.business-humanrights.org/en/latest-news/shell-response-to-the-other-shell-report-published-by-friends-of-the-earth/,NG|PH|RU|US|ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/response-from-glamis-gold-to-cao-follow-up-assessment-guatemala/,GT,GT,North America
https://www.business-humanrights.org/en/latest-news/réponse-de-sabodala-gold-operationsmdl-au-sujet-de-licenciements-par-son-sous-traitant-sénégal/,SN,SN,Africa
https://www.business-humanrights.org/en/latest-news/bhp-billiton-statement-in-response-to-survival-international-news-release-concerning-botswana/,BW,BW,Africa
https://www.business-humanrights.org/en/latest-news/response-by-nicotex-to-report-on-labour-abuses-at-its-factory-in-guatemala/,GT,GT,North America
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,BA,Other
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,IN,Asia
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,KZ,Asia
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,LR,Africa
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,RO,Europe
https://www.business-humanrights.org/en/latest-news/arcelormittals-response-to-the-report-arcelormittal-going-nowhere-slowly-by-global-action-on-arcelormittal/,BA|IN|KZ|LR|RO|ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/merck-response-re-hpv-vaccine-testing-in-india/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/correo-electrónico-enviado-por-oscar-gonzález-representante-de-manufacturas-lajat-en-respuesta-a-un-comunicado-de-la-coalición-pro-justicia-en-las-maquiladoras/,MX,MX,North America
https://www.business-humanrights.org/en/latest-news/coal-india-response-to-tehelka-article/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/response-of-freeport-mcmoran-to-new-york-times-article/,ID,ID,Asia
https://www.business-humanrights.org/en/latest-news/ingenio-guadalupe-response-to-reports-of-repressing-indigenous-community-guatemala/,GT,GT,North America
https://www.business-humanrights.org/en/latest-news/respuesta-de-graciela-naum-a-alegaciones-que-compra-mercancía-producida-en-talleres-clandestinos-argentina/,AR,AR,South America
https://www.business-humanrights.org/en/latest-news/response-to-observer-article-of-11th-january-2009/,GB|IQ,GB,Europe
https://www.business-humanrights.org/en/latest-news/response-to-observer-article-of-11th-january-2009/,GB|IQ,IQ,Asia
https://www.business-humanrights.org/en/latest-news/response-of-kingmaker-footwear-to-concerns-regarding-labour-conditions-at-its-zhuhai-china-factory/,CN,CN,Asia
https://www.business-humanrights.org/en/latest-news/salmonchile-ag-respuesta-de-la-industria-salmonera-con-relación-al-articulo-publicado-en-la-nación-sobre-condiciones-laborales/,CL,CL,South America
https://www.business-humanrights.org/en/latest-news/respuesta-de-friosur-al-artículo-en-la-nación-sobre-condiciones-laborales-chile/,CL,CL,South America
https://www.business-humanrights.org/en/latest-news/respuesta-de-ecuavital-biox-sobre-alegaciones-que-sus-guardias-de-seguridad-reprimieron-a-defensores-de-derechos-humanos/,EC,EC,South America
https://www.business-humanrights.org/en/latest-news/sainsburys-response-to-actionaid-report-who-pays-how-british-supermarkets-are-keeping-women-workers-in-poverty/,CR,CR,North America
https://www.business-humanrights.org/en/latest-news/ali-baba-foods-response-to-allegations-by-the-food-and-allied-workers-union-fawu-that-the-companys-action-led-to-the-shooting-of-workers-by-police/,ZA,ZA,Africa
https://www.business-humanrights.org/en/latest-news/kbc-response-to-netwerk-vlaanderen-report-where-do-you-draw-the-line/,GE,GE,Asia
https://www.business-humanrights.org/en/latest-news/petronas-response-to-amnesty-international-report-on-chad-cameroon-pipeline/,CM|TD,CM,Africa
https://www.business-humanrights.org/en/latest-news/petronas-response-to-amnesty-international-report-on-chad-cameroon-pipeline/,CM|TD,TD,Africa
https://www.business-humanrights.org/en/latest-news/response-of-united-states-steel-to-toxic-100-ranking/,US,US,North America
https://www.business-humanrights.org/en/latest-news/total-response-to-statement-by-burma-campaign-uk/,MM,MM,Asia
https://www.business-humanrights.org/en/latest-news/china-road-bridge-response-regarding-alleged-labour-rights-abuses-at-loutété-cement-factory-rep-of-congo/,CG,CG,Africa
https://www.business-humanrights.org/en/latest-news/dole-response-to-2009-report-on-labour-human-rights-issues-in-latin-america/,CR|PE,CR,North America
https://www.business-humanrights.org/en/latest-news/dole-response-to-2009-report-on-labour-human-rights-issues-in-latin-america/,CR|PE,PE,South America
https://www.business-humanrights.org/en/latest-news/carlsberg-response-to-concerns-re-pollution-in-gansu-china/,CN,CN,Asia
https://www.business-humanrights.org/en/latest-news/bristol-myers-squibb-statement-on-access-to-medicines/,GT,GT,North America
https://www.business-humanrights.org/en/latest-news/response-of-schlumberger-to-letter-regarding-an-incident-in-libya-that-raised-concern-about-age-discrimination/,LY,LY,Africa
https://www.business-humanrights.org/en/latest-news/the-announcement-henan-rebecca-hair-products-response-to-prison-labour-concerns/,CN,CN,Asia
https://www.business-humanrights.org/en/latest-news/pacific-rim-response-to-report-gold-impunity-violence-in-el-salvador/,HN|SV,HN,North America
https://www.business-humanrights.org/en/latest-news/pacific-rim-response-to-report-gold-impunity-violence-in-el-salvador/,HN|SV,SV,North America
https://www.business-humanrights.org/en/latest-news/monsanto-response-to-child-bondage-continues-in-indian-cotton-supply-chain/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/baishanlin-intl-forest-development-response-regarding-labour-rights-abuses-at-coomacka-timber-works-guyana/,GY,GY,South America
https://www.business-humanrights.org/en/latest-news/de-beers-response/,BW,BW,Africa
https://www.business-humanrights.org/en/latest-news/yahoo-response-regarding-amnesty-international-action-on-freedom-of-expression-in-china/,CN,CN,Asia
https://www.business-humanrights.org/en/latest-news/response-of-abbott-laboratories-to-concerns-raised-by-médecins-sans-frontières-about-pricing-of-anti-aids-drugs-in-developing-countries/,GT,GT,North America
https://www.business-humanrights.org/en/latest-news/deutsche-bank-statement-in-response-to-concerns-raised-about-loan-to-sonangol-angolas-state-oil-company/,AO,AO,Africa
https://www.business-humanrights.org/en/latest-news/statement-of-euro-disney-regarding-allegations-of-racial-discrimination-in-france-involving-adecco-and-disneyland-resort-paris/,FR,FR,Europe
https://www.business-humanrights.org/en/latest-news/alcoa-response-to-allegations-raised-by-the-movimento-dos-atingidos-por-barragens-movement-of-dam-affected-people-or-mab-and-by-the-terra-de-direitos-land-rights-organisation-with-reference-to-the-barra-grande-hydropower-plant-in-brazil/,BR,BR,South America
https://www.business-humanrights.org/en/latest-news/arcelormittal-response-to-report-by-global-action-on-arcelormittal/,KZ,KZ,Asia
https://www.business-humanrights.org/en/latest-news/shell-response-re-gas-flaring-in-nigeria/,NG,NG,Africa
https://www.business-humanrights.org/en/latest-news/respuesta-de-grupo-agbar-sobre-el-acceso-al-agua-en-coahuila-méxico/,MX,MX,North America
https://www.business-humanrights.org/en/latest-news/newmont-response-to-gna-ghana-news-agency-article/,GH,GH,Africa
https://www.business-humanrights.org/en/latest-news/chevron-response-to-amnesty-international-report-on-chad-cameroon-pipeline/,CM|TD,CM,Africa
https://www.business-humanrights.org/en/latest-news/chevron-response-to-amnesty-international-report-on-chad-cameroon-pipeline/,CM|TD,TD,Africa
https://www.business-humanrights.org/en/latest-news/further-comments-by-amazon-in-response-to-concerns-raised-in-bbc-report-regarding-a-tour-guide-for-paedophiles-offered-for-sale-on-its-website/,GB,GB,Europe
https://www.business-humanrights.org/en/latest-news/doc-bnp-paribas-response-to-amnesty-international-france-statements-on-direct-indirect-investments-in-anti-personnel-mines-cluster-munitions/,FR,FR,Europe
https://www.business-humanrights.org/en/latest-news/anglogold-ashantis-response/,GH,GH,Africa
https://www.business-humanrights.org/en/latest-news/lahmeyer-response-to-statement-by-un-special-rapporteur-on-adequate-housing-regarding-human-rights-impacts-of-merowe-dam/,SD,SD,Africa
https://www.business-humanrights.org/en/latest-news/himagiri-hydro-energy-pvt-ltd-statement-re-petition-by-affected-citizens-of-teesta/,IN,IN,Asia
https://www.business-humanrights.org/en/latest-news/bhp-billiton-statement-re-london-mining-network-reports/,CO|GB|GT|ID|PH,CO,South America
https://www.business-humanrights.org/en/latest-news/bhp-billiton-statement-re-london-mining-network-reports/,CO|GB|GT|ID|PH,GB,Europe
https://www.business-humanrights.org/en/latest-news/bhp-billiton-statement-re-london-mining-network-reports/,CO|GB|GT|ID|PH,GT,North America
https://www.business-humanrights.org/en/latest-news/bhp-billiton-statement-re-london-mining-network-reports/,CO|GB|GT|ID|PH,ID,Asia
https://www.business-humanrights.org/en/latest-news/bhp-billiton-statement-re-london-mining-network-reports/,CO|GB|GT|ID|PH,PH,Asia
https://www.business-humanrights.org/en/latest-news/oceanagold-response-to-human-rights-commission-inquiry-allegation-of-rights-abuses-at-dipidio-mining-site/,PH,PH,Asia
